Gen	No. de genes que regula	Genes regulados	Efecto
ATP-dependent RNA helicase DeaD	3	mntR, sdiA, uvrY	Activador
AaeR	3	aaeA, aaeB, aaeX	Activador
AccB	2	accB, accC	Represor
AcnB	1	acnB	Activador
AcrR	15	acrA, acrB, acrR, flhC, flhD, marA, marB, marR, mdtI, mdtJ, mdtU, micF, puuA, soxR, soxS	Represor
Ada	2	aidB, alkA	Activador
AdiY	8	adiA, gadA, gadB, gadC, gadX, gltB, gltD, gltF	Activador
AgaR	11	agaA, agaB, agaC, agaD, agaI, agaR, agaS, agaV, agaW, kbaY, kbaZ	Represor
AgrB	1	dinQ	Represor
AidB	1	aidB	Represor
AlaS	1	alaS	Represor
AllR	9	allA, allB, allS, allW, gcl, glxK, glxR, hyi, ybbY	Represor
AllS	3	allC, allD, allE	Activador
AlpA	3	intA, phoB, phoR	Dual
AlsR	6	alsA, alsB, alsC, alsE, alsR, rpiB	Represor
AmeF	2	mazE, mazF	Activador
AppY	10	appA, appB, appC, appX, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF	Activador
AraC	15	araE, araF, araG, araH, araJ, xylA, xylB, xylZ, ydeM, ydeN, ygeA, yjfF, ytfQ, ytfR, ytfT	Dual
ArcA	226	aceA, aceB, aceE, aceF, aceK, ackA, acnA, acnB, acpP, aldA, appA, appB, appC, appX, appY, arcA, arcZ, argR, argT, betA, betB, betI, betT, cadA, cadB, caiA, caiB, caiC, caiD, caiE, caiT, carA, citC, citD, citE, citF, citG, citX, cycA, cydA, cydB, cydC, cydD, cyoA, cyoB, cyoC, cyoD, cyoE, dctA, dcuA, dcuB, dcuC, dpiA, dpiB, dppA, dsbB, fadA, fadB, fadD, fadE, fadH, fadI, fadJ, fadL, feoA, fnr, folE, fumA, fumB, fumC, gadA, gadE, gadF, gadX, gatA, gatB, gatC, gatD, gatY, gatZ, gcvB, glaH, glcA, glcB, glcC, glcD, glcE, glcF, glcG, glpA, glpB, glpC, glpD, glpE, gltA, grcA, hemA, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, hybA, hybB, hybC, hybD, hybE, hybF, hybG, hybO, icd, igaA, iraM, kdpA, kgtP, lldD, lldP, lldR, lpd, manA, mdh, micF, moeA, moeB, mqo, msrB, ndh, ndk, nudE, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, nupC, ompW, oppB, oppC, oppD, oppF, osmY, pepN, pflB, phoH, pldA, pncB, pntA, potF, pqqU, prfA, prmC, ptsG, putA, putP, puuA, puuB, puuC, puuD, puuE, puuP, puuR, pyrS, rhaT, rho, rmf, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpoS, rpsC, rpsJ, rpsQ, rpsS, rsd, rstA, rutA, rutB, rutC, rutD, rutE, rutF, rutG, sodA, sroD, ssb, sstT, sthA, thiC, thrA, tpx, treB, treC, ubiA, ubiC, uvrA, xthA, xylR, ybdN, ybfA, ybiU, ydeA, ydgC, yeiQ, yejG, yfiF, yhgE, yhjE, yieE, yigI, yjiR, ymjE, ynaJ, yncE	Dual
ArcZ	6	eptB, flhC, flhD, lrhA, mutS, rpoS	Dual
ArgP	15	argO, argP, asd, dapB, dapD, dnaA, dnaN, gdhA, lysA, lysC, lysP, nrdA, nrdB, recF, yfaE	Dual
ArgR	64	argA, argB, argC, argD, argE, argF, argG, argH, argI, argR, aroK, aroP, artI, artJ, artM, artP, artQ, astA, astB, astC, astD, astE, carA, carB, cvpA, dacC, dps, eutS, ftsZ, gltB, gltD, gltF, gltP, hchA, hisJ, hisL, hisM, hisP, hisQ, infB, lrp, lysO, mcaS, metY, mukE, nusA, pfkB, pnp, potF, puuB, pyrL, rbfA, rimP, rpsO, stpA, truB, waaA, yaaU, ydgI, yfcC, yffB, yhcC, ykgA, yraQ	Dual
ArrS	3	cfa, gadE, gadF	Activador
ArsR	3	arsB, arsC, arsR	Represor
AscG	5	ascB, ascF, htpG, prpR, ybiT	Represor
AsflhD	1	flhD	Represor
AsnC	4	asnA, asnC, mioC, mnmG	Dual
AtoC	4	atoA, atoB, atoD, atoE	Activador
AzuR	2	cadA, galE	Represor
BaeR	9	acrD, baeR, baeS, mdtA, mdtB, mdtC, mdtD, spy, ycaC	Activador
BasR	26	arnA, arnB, arnC, arnD, arnE, arnF, arnT, csgD, csgE, csgF, csgG, cspI, dgkA, emrD, eptA, fimB, glpA, glpB, glpC, hha, putA, qseB, qseC, tomB, waaH, yrbL	Dual
BetI	4	betA, betB, betI, betT	Represor
BirA	5	bioA, bioB, bioC, bioD, bioF	Represor
BluR	4	ariR, ycgZ, ymgA, ymgC	Represor
BolA	9	csgA, csgD, csgE, csgF, csgG, fimH, mreB, mreC, mreD	Dual
BtsR	15	aceE, aceF, btsT, csgA, csgB, csgC, csgD, csgE, csgF, csgG, cspC, lpd, mdh, pdhR, yobF	Dual
C0293	3	fadR, hcaR, iroK	Represor
