Gen	No. de genes que regula	Genes regulados	Efecto
C0293	3	fadR, hcaR, iroK	Dual
aaeR	3	aaeA, aaeB, aaeX	Dual
accA;accD	2	accA, accD	Dual
accB	2	accB, accC	Dual
acnB	1	acnB	Activador
acrR	15	acrA, acrB, acrR, flhC, flhD, marA, marB, marR, mdtI, mdtJ, mdtU, micF, puuA, soxR, soxS	Dual
ada	2	aidB, alkA	Dual
adiY	8	adiA, gadA, gadB, gadC, gadX, gltB, gltD, gltF	Dual
agaR	11	agaA, agaB, agaC, agaD, agaI, agaR, agaS, agaV, agaW, kbaY, kbaZ	Dual
agrB	1	dinQ	Represor
aidB	1	aidB	Represor
alaS	1	alaS	Represor
allR	9	allA, allB, allS, allW, gcl, glxK, glxR, hyi, ybbY	Dual
allS	3	allC, allD, allE	Dual
alpA	3	intA, phoB, phoR	Dual
alsR	6	alsA, alsB, alsC, alsE, alsR, rpiB	Dual
ameF	2	mazE, mazF	Dual
appY	10	appA, appB, appC, appX, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF	Dual
araC	15	araE, araF, araG, araH, araJ, xylA, xylB, xylZ, ydeM, ydeN, ygeA, yjfF, ytfQ, ytfR, ytfT	Dual
